"claim","quote"
"Hacker group Gonjeshke Darande (Predatory Sparrow) used vanity wallet addresses containing anti-IRGC slogans, referencing Iran’s Islamic Revolutionary Guard Corps, during the Nobitex hack to deposit funds.","Several wallet addresses used in the attack included political vanity names, such as “TKFuckiRGCTerroristsNoBiTEXy2r7mNX,” which holds the majority of the stolen assets on Tron – $48.6 million in USDT."
"Hacker group Gonjeshke Darande (Predatory Sparrow) used vanity wallet addresses containing anti-IRGC slogans, referencing Iran’s Islamic Revolutionary Guard Corps, during the Nobitex hack to deposit funds.","Most of the addresses where the hacked funds are currently held are vanity addresses, containing some variation of the term “F*ckIRGCterrorists” within their public key."
"Wyoming requires a statutory minimum capitalization of 102% for WYST","The proposed Wyoming stable token will be fully backed by US Treasuries, cash and repurchase agreements, and maintain a statutory requirement of no less than 102% capitalization. Wyoming plans to generate new revenue streams from what it calls the WYST token through interest income derived from the reserve assets, which the state said can be used to fund education and infrastructure."
"Wyoming requires a statutory minimum capitalization of 102% for WYST","According to reports, Wyoming will include an ironclad reserve requirement for this stablecoin. Wyoming will back WYST stablecoins with cash, US Treasury bonds, and repurchase agreements, with a statutory requirement of 102% capitalization."
"Coinbase faced a $20 million extortion attempt from cybercriminals who acquired sensitive customer data by bribing overseas customer support agents","Cyber criminals tried to extort $20 million from Coinbase to keep stolen customer data off the internet."
"Coinbase faced a $20 million extortion attempt from cybercriminals who acquired sensitive customer data by bribing overseas customer support agents","Coinbase, the world’s third-largest cryptocurrency exchange, was hit by a $20 million extortion attempt after cybercriminals recruited overseas support agents to leak user data, the company said."
"Sonic SVM’s Mobius Hackathon aims to expand Solana and Sonic SVM ecosystem by fostering real-world applications in DeFi, gaming, and AI","The $1 million Mobius Hackathon seeks to accelerate Solana’s growth, focusing on gaming, DeFi, and AI applications with real-world viability"
"Sonic SVM’s Mobius Hackathon aims to expand Solana and Sonic SVM ecosystem by fostering real-world applications in DeFi, gaming, and AI","Ultimately, it hopes the contest will help to catalyze the development of Sonic-based dApps while highlighting the strengths of its infrastructure"
"World previously operated globally, reaching over 160 countries, but avoided launching in the U.S. initially due to regulatory concerns","As World previously launched in other countries around the globe, it has at times raised concerns with different data privacy advocacy groups. World gives new users WLD tokens in exchange for signing up."
"World previously operated globally, reaching over 160 countries, but avoided launching in the U.S. initially due to regulatory concerns","“America should lead innovation, not fight it off,” Altman said during the event. The company, founded near San Francisco’s South Park neighborhood, had previously operated in over 160 countries but not in the U.S."
"The Holesky Testnet failed to achieve finality after the Pectra upgrade was activated, indicating that transactions were not confirmed as immutable","Ethereum’s Pectra upgrade went live on the Holesky testnet on Monday but failed to finalize in the expected time."
"The Holesky Testnet failed to achieve finality after the Pectra upgrade was activated, indicating that transactions were not confirmed as immutable","Pectra was activated on the Holesky testnet at 21:55 UTC (4:55 p.m. ET), but did not initially finalize according to blockchain data.  Finality is the state in which, once a transaction is confirmed and added to a block, it is immutable and cannot be reversed. "
"Movement Labs’ market-making agreement reportedly allowed Rentech to liquidate its MOVE tokens if the cryptocurrency’s fully diluted valuation surpassed $5 billion, triggering a 50-50 profit split with the Movement Foundation, a structure Zaki Manian warned could incentivise retail price manipulation","there are incentives basically to manipulate the price to over $5 billion fully diluted value and then dump on retail for shared profit,” concluded Zaki Manian, a veteran crypto founder who reviewed the documents."
"Movement Labs’ market-making agreement reportedly allowed Rentech to liquidate its MOVE tokens if the cryptocurrency’s fully diluted valuation surpassed $5 billion, triggering a 50-50 profit split with the Movement Foundation, a structure Zaki Manian warned could incentivise retail price manipulation","Among the contract’s more unusual provisions was a clause allowing Rentech to liquidate its MOVE tokens if the cryptocurrency’s fully diluted value exceeded $5 billion — a benchmark that, if reached, would have allowed Rentech to split profits 50-50 with the foundation"
"The $12 million exploit on Cork Protocol was detected within 16 minutes and 45 seconds by multiple blockchain security platforms including CertiK and Phalcon.","The exploit was detected within 16 minutes and 45 seconds by multiple security monitoring systems, including CertiK, Phalcon, and others."
"Finance Minister Muhammad Aurangzeb described CZ’s appointment as a pivotal moment that signals Pakistan’s commitment to innovation and building a future-ready digital economy","his marks a pivotal moment for Pakistan. We’re sending a clear signal that Pakistan welcomes innovation and is serious about building a future-ready digital economy."
"Finance Minister Muhammad Aurangzeb described CZ’s appointment as a pivotal moment that signals Pakistan’s commitment to innovation and building a future-ready digital economy","We are sending a clear message to the world: Pakistan is open for innovation. With Zhao onboard, we are accelerating our vision to make Pakistan a regional powerhouse for Web3, digital finance, and blockchain-driven growth,” as reported by The Dawn"
"The migration to Ethereum Layer 2 reduced Celo’s block times from five seconds to one second","With this migration, Celo has gained native Ethereum bridging, and its block times have been reduced from 5 seconds to 1 second."
"The migration to Ethereum Layer 2 reduced Celo’s block times from five seconds to one second","Thanks to the OP Stack framework, the new Celo L2 has decreased its block times from 5 seconds to 1 second. The L2 network benefits from Ethereum’s security and Optimism’s speed."
"The idea of using blockchain in public finance, which Elon Musk supported in his February 5, 2025, post, is not a new concept; countries like Estonia have already adopted it to enhance government data security and efficiency","Some governments are already experimenting with solutions based on this technology to improve the traceability of expenses and reduce corruption"
"The idea of using blockchain in public finance, which Elon Musk supported in his February 5, 2025, post, is not a new concept; countries like Estonia have already adopted it to enhance government data security and efficiency","In Estonia, for example, the blockchain is used to ensure the security of government data and to improve administrative efficiency"
"Previous tests for Ethereum's Pectra upgrade on the Holesky and Sepolia testnets experienced failures and finality issues","The upgrade on the new Hoodi testnet was closely watched given that two previous tests, on the Holesky and Sepolia test networks, failed to finalize properly."
"Previous tests for Ethereum's Pectra upgrade on the Holesky and Sepolia testnets experienced failures and finality issues"," The launch aims to address issues from previous testnets, Holesky and Sepolia, which faced flaws and finality failures. Developers are hopeful that Hoodi will provide a seamless transition for Ethereum’s greatest update since The Merge. "
"President Donald Trump nominated Jonathan Gould, a former Bitfury executive, to serve a five-year term as the Comptroller of the Currency","President Donald Trump has reportedly tapped former blockchain executive Jonathan Gould to lead the Office of the Comptroller of the Currency. "
"President Donald Trump nominated Jonathan Gould, a former Bitfury executive, to serve a five-year term as the Comptroller of the Currency","The White House on Feb. 11 submitted its nomination of Gould to the Senate. If confirmed, he’d be the Comptroller of the Currency for a term of five years."
"Bitcoin Core committed to aligning relay policy with long‑term network health, safety, and miners’ rational incentives in its June 6, 2025 joint statement","We will continue to apply our best judgment as developers in aligning transaction acceptance rules with Bitcoin’s long-term health and miners’ rational self-interest, including specific technical reasons such as upgrade safety, efficient block building, and node DoS attacks."
"Bitcoin Core committed to aligning relay policy with long‑term network health, safety, and miners’ rational incentives in its June 6, 2025 joint statement","The project concluded, acknowledging that while it is aware that consensus around this stance is not unanimous, “it is in the best interest of Bitcoin and its users, and we hope our users agree.”"
"TVM Ventures was funded by Steve Yun and a Toncoin miner, whose identity and exact contribution remain undisclosed","Yun and a Toncoin miner contributed to the fund's capital, Yun told The Block, declining to disclose the miner's identity or their specific contribution"
"TVM Ventures was funded by Steve Yun and a Toncoin miner, whose identity and exact contribution remain undisclosed","Yun revealed in an interview with The Block on Monday, February 3, that a Toncoin miner, who chose to remain anonymous, contributed part of the capital"
"Tether CEO Paolo Ardoino stated that supporting decentralization in Bitcoin mining is essential to the network’s integrity.","We see supporting decentralization in Bitcoin mining as essential to the network’s long-term integrity."
"Tether CEO Paolo Ardoino stated that supporting decentralization in Bitcoin mining is essential to the network’s integrity.","Ardoino claimed that the firm sees 'supporting decentralization in Bitcoin mining as essential to the network’s long-term integrity.’"
"Senior convertible notes, used in Bitdeer’s $330 million fundraising in June 2025, are loans that can later be converted into company shares and are repaid before other debts if the company faces financial difficulties.","Convertible notes are a form of debt financing that companies issue to raise capital. The notes can typically later be converted into equity or an ownership stake in the company. A senior convertible note has priority over other types of debt issued by the company."
"Guggenheim is a major Wall Street firm actively engaged in digital asset innovation through tokenization.","The firm is one of a slew of Wall Street players that are looking to tokenize real-world assets, following in the footsteps of Franklin Templeton and BlackRock Inc. Billionaire Michael Novogratz’s Galaxy Digital Inc. is talking with regulators about tokenizing its shares."
"Guggenheim is a major Wall Street firm actively engaged in digital asset innovation through tokenization.","Administered by Guggenheim Treasury Services, one of the largest independent commercial paper platform managers in the world, and a wholly owned subsidiary of Guggenheim Capital, DCP is tokenized, issued, and managed through the Zeconomy platform."
"The JPMD trademark filing references distributed ledger technology for services like brokerage and debt settlement.","Notably, the application references debt settlement and brokerage functions “using distributed ledger technology,” suggesting a possible role for the trademark in the real-world asset sector."
"CARV’s D.A.T.A. Framework provides benefits for both developers and users, including real-time decision-making capabilities for AI agents, enhanced privacy and security, and the potential for new, innovative applications in various fields","For developers, the D.A.T.A Framework simplifies the creation of smarter, autonomous AI agents with built-in tools for accessing and processing enriched data. Applications range from trading bots that respond instantly to market shifts to gaming AI agents capable of intelligent, personalized interactions.  For users, D.A.T.A enables secure control and monetization of personal data while providing tailored, data-driven experiences. By bridging trust gaps and fostering collaboration, the framework creates an ecosystem where everyone—from businesses to individual users—stands to benefit equitably."
"No evidence has emerged linking the zkLend hacker from the February 2025 exploit to the operators of the phishing site that stole the laundered ETH.","This unexpected turn has fueled speculation that the original hacker and the phishing scammers might be connected, though no proof has surfaced to support that theory."
"No evidence has emerged linking the zkLend hacker from the February 2025 exploit to the operators of the phishing site that stole the laundered ETH.","Security teams do not have conclusive evidence that the phishing website and the exploiter are connected."
"Chainflip’s protocol’s 1.7.10 upgrade allows operators to block transactions based on risk profiling and association to exploit-linked wallets. It should provide a robust and permanent shield for liquidity providers from illicit funds","1.7.10 upgrade allows Chainflip Labs to reject any deposit facilitated by broker operators on its network, including SwapKit and Rango cross-chain DEX aggregator. This version introduces improved screening tools for brokers, enabling them to reject ETH and ERC20 token deposits"
"Chainflip’s protocol’s 1.7.10 upgrade allows operators to block transactions based on risk profiling and association to exploit-linked wallets. It should provide a robust and permanent shield for liquidity providers from illicit funds","Going forward, Chainflip will not be useful to anyone whose wallet can be linked to any major incident, hack, fraud, or scam"
"Chainflip’s protocol’s 1.7.10 upgrade allows operators to block transactions based on risk profiling and association to exploit-linked wallets. It should provide a robust and permanent shield for liquidity providers from illicit funds","The tool will allow operators to block incoming Bitcoin transfers based on risk profiling"
"Chainflip’s protocol’s 1.7.10 upgrade allows operators to block transactions based on risk profiling and association to exploit-linked wallets. It should provide a robust and permanent shield for liquidity providers from illicit funds","This solution should form a robust and permanent protection to LPs on the network,"" Chainflip said"
"The SMBC-Ava Labs-Fireblocks-TIS partnership will test fiat-pegged stablecoins as a settlement method for tokenized financial instruments and real-world assets, including bonds and real estate.","A key area of exploration will be leveraging stablecoins as a settlement method for tokenized financial and real-world assets (RWAs)."
"The SMBC-Ava Labs-Fireblocks-TIS partnership will test fiat-pegged stablecoins as a settlement method for tokenized financial instruments and real-world assets, including bonds and real estate.","This includes assets like government and corporate bonds, as well as real estate, highlighting the potential for stablecoins to bridge the gap between traditional finance and the digital asset space, SMBC said."
"Predicate hooks enable the USDL liquidity pool on Uniswap to enforce Paxos’s custom compliance policy via front-end IP gating or on-chain attestations, while a second hook automatically wraps USDL into a non-rebasing token so it remains compatible with Uniswap’s accounting model and broader DeFi composability.","Using Predicate, the Paxos liquidity pool on Uniswap enforces a custom policy enforced via frontend IP gating or onchain attestations."
"Predicate hooks enable the USDL liquidity pool on Uniswap to enforce Paxos’s custom compliance policy via front-end IP gating or on-chain attestations, while a second hook automatically wraps USDL into a non-rebasing token so it remains compatible with Uniswap’s accounting model and broader DeFi composability.","A second hook wraps USDL into a non-rebasing token behind the scenes so it can interact with Uniswap’s accounting model. Thus, Paxos meets its regulatory constraints without compromising composability."
"Crypto firms pursuing formal banking charters mark a shift from operating in regulatory grey zones to aligning with institutional compliance frameworks, reflecting their push for long-term viability and legitimacy within regulated finance","Applications for formal charters suggest a growing effort to secure long-term viability within regulated finance"
"Crypto firms pursuing formal banking charters mark a shift from operating in regulatory grey zones to aligning with institutional compliance frameworks, reflecting their push for long-term viability and legitimacy within regulated finance","For companies that once thrived on regulatory ambiguity, survival now could mean learning to function within the very institutions they were built to bypass"
"1inch’s Pathfinder upgrade aims to lower barriers to DeFi by addressing high gas fees and encouraging more frequent usage, making decentralised finance more accessible to retail users","This can encourage more frequent usage and build trust in DeFi platforms, making DeFi more accessible,” they said."
"1inch’s Pathfinder upgrade aims to lower barriers to DeFi by addressing high gas fees and encouraging more frequent usage, making decentralised finance more accessible to retail users","Pathfinder aims to address major obstacles in the Web3 ecosystem, particularly the challenge of high gas fees, which have limited broader retail participation in decentralized finance (DeFi)."
"Intercontinental Exchange (ICE) and Circle aim to assess the integration of USDC and USYC into ICE’s derivatives exchanges, clearinghouses and risk management tools, expanding their role in traditional financial markets","Under the MoU, ICE and Circle will assess applications for these digital assets within ICE’s ecosystem, including novel derivatives, risk management tools, and tokenized financial instruments"
"Intercontinental Exchange (ICE) and Circle aim to assess the integration of USDC and USYC into ICE’s derivatives exchanges, clearinghouses and risk management tools, expanding their role in traditional financial markets","The two firms will look at how Circle's USDC stablecoin and USYC tokenized money market fund could be integrated into derivatives exchanges, clearinghouses and other services"
"Theo is developing a platform where retail users can deposit digital assets into strategy-specific vaults that provide access to institutional-grade trading strategies such as high-frequency arbitrage, cross-exchange funding rate optimization, and delta-neutral hedging","Those “sophisticated” strategies include high-frequency arbitrage, cross-exchange funding rate optimization, and delta-neutral hedging techniques, which hedge funds frequently employ."
"Theo is developing a platform where retail users can deposit digital assets into strategy-specific vaults that provide access to institutional-grade trading strategies such as high-frequency arbitrage, cross-exchange funding rate optimization, and delta-neutral hedging","Theo is developing a system that allows retail users to deposit digital assets into strategy-specific vaults, according to a press release shared with CoinDesk. These vaults are designed to provide access to advanced trading strategies—including arbitrage, hedging, and cross-chain funding rate optimization—that are typically used by institutional players"
"On January 8, 2025, StarkWare announced the SN Stack, a developer tool that lets projects create custom blockchains (appchains) on Starknet","On January 8, 2025, StarkWare announced the SN Stack, a developer tool that lets projects create custom blockchains (appchains) on Starknet"
"On January 8, 2025, StarkWare announced the SN Stack, a developer tool that lets projects create custom blockchains (appchains) on Starknet","Ethereum Layer 2 StarkNet has released a new software called SN Stack that allows developers and users to build custom blockchains, according to a Jan. 8 X post."
"Unichain’s stablecoin market cap reached $344.2 million between March and June 2025, with over half issued natively, now available for swaps through the 1inch platform","From March to June 2025, Unichain’s total stablecoin market cap surged to $344.2 million, with over 51% issued natively on the network."
"Unichain’s stablecoin market cap reached $344.2 million between March and June 2025, with over half issued natively, now available for swaps through the 1inch platform","Between March and June 2025, the total stablecoin market capitalization on Unichain grew to $344.2 million, with over half of that amount issued natively on the network, according to DeFiLlama."
"Unichain’s stablecoin market cap reached $344.2 million between March and June 2025, with over half issued natively, now available for swaps through the 1inch platform","from March to June 2025, the total market capitalization of the stablecoins present on Unichain rose to 344.2 million dollars, with over 51% issued natively on the network."
"Torab Torabi before becoming Movement Industries new CEO served as Director of Business Development since joining Movement Labs in September 2023","Torab Torabi, who joined Movement Labs in September 2023 as Director of Business Development, will serve as CEO of Move Industries, alongside longtime marketing head Will Gaines as President and CMO."
"Nova Labs in its April 10, 2025 blogpost  informed that the U.S. Securities and Exchange Commission has dismissed its lawsuit accusing the company of selling unregistered securities and will not be able to bring these charges in the future","The US Securities and Exchange Commission (SEC) has dismissed a lawsuit against Nova Labs, developer of decentralized wireless network Helium, for allegedly issuing unregistered securities, Helium stated in an April 10 blog post. "
"Nova Labs in its April 10, 2025 blogpost  informed that the U.S. Securities and Exchange Commission has dismissed its lawsuit accusing the company of selling unregistered securities and will not be able to bring these charges in the future","The dismissal with prejudice means the blockchain developer cannot be charged with similar violations again for issuing in 2019 its native token Helium, the company said. "
"Nova Labs in its April 10, 2025 blogpost  informed that the U.S. Securities and Exchange Commission has dismissed its lawsuit accusing the company of selling unregistered securities and will not be able to bring these charges in the future","Nova Labs, the creator of the Helium Network, said the U.S. Securities and Exchange Commission has dropped its claims that the firm sold unregistered securities"
"Chainlink partnered with the ERC-3643 Association to implement ERC-3643 using Chainlink ACE and GLEIF vLEIs for identity verification, with offchain compliance policies enforced via the Chainlink Policy Manager running in CRE.","Chainlink also teamed up with the ERC-3643 Association to engineer an implementation of ERC-3643 that leverages a combination of both Chainlink ACE and GLEIF vLEIs for identity verification."
"OCC clarified that banks can engage third-party providers to perform crypto custody and execution services, thereby enabling institutions to leverage external expertise while maintaining regulatory obligations","Banks may work with sub-custodians to store and manage crypto assets. However, they must apply strong risk management when doing so."
"OCC clarified that banks can engage third-party providers to perform crypto custody and execution services, thereby enabling institutions to leverage external expertise while maintaining regulatory obligations","The newly explained policy stance released by the OCC on Wednesday also clarified that the bankers can outsource crypto activities to third parties, including custody and executive services. As long as it all still checks the boxes of the watchdog's safety-and-soundness requirements, the OCC is giving the banks more crypto freedom."
"EIP-7493 is a proposed Ethereum Improvement Proposal that introduces the Universal RWA Interface, a standardized framework designed to enable secure, compliant, and interoperable tokenization of real-world assets.","EIP-7493 introduces uRWA as a standardized framework to support the next generation of secure, compliant, and interoperable tokenized assets."
"EIP-7493 is a proposed Ethereum Improvement Proposal that introduces the Universal RWA Interface, a standardized framework designed to enable secure, compliant, and interoperable tokenization of real-world assets.","This proposed framework aims to provide a modular and adaptable foundation for compliant tokenization practices, ensuring that the diverse requirements of real-world asset issuers and regulators are met."
"Fold Holdings' common stock and warrants trade on Nasdaq under the ticker symbols ""FLD"" and ""FLDDW""","Its common stock and warrants are expected to commence trading on the Nasdaq under the ticker symbols “FLD” and “FLDDW,” respectively. The listing is still pending final approval."
"The Maelstrom-funded work by Ben Allen aims to improve Payjoin, a transaction method that increases Bitcoin privacy by breaking the common blockchain analysis heuristic that assumes all transaction inputs are owned by a single entity.","The assumption they have is that if a Bitcoin transaction has multiple inputs, all the inputs must all belong to the same entity."
"The Maelstrom-funded work by Ben Allen aims to improve Payjoin, a transaction method that increases Bitcoin privacy by breaking the common blockchain analysis heuristic that assumes all transaction inputs are owned by a single entity.","Payjoin, first introduced in 2019 by Nicolas Dorier in BIP 78, allows both the sender and receiver to contribute inputs to a single Bitcoin transaction."
"Staking is a mechanism in which validators commit cryptocurrency to secure blockchains, and restaking protocols like Symbiotic allow that stake to be reused across multiple blockchains.","Staking is a system for securing blockchains in exchange for rewards. In staking systems, so-called validators commit callateral — called ""stake"" — for a role in processing transactions. ""Restaking"" protocols like Symbiotic let users reuse stake across multiple blockchains at once, offering investors the opportunity to earn extra yield."
"Richard Kim, former executive at crypto firm Galaxy and trader at JPMorgan and Goldman Sachs, was arrested and charged by the FBI with securities and wire fraud for misappropriating nearly $7M raised for his Zero Edge crypto casino startup","Former Galaxy, Goldman Sachs, and JP Morgan executive Richard Kim faces securities and wire fraud charges after allegedly gambling away ""nearly all"" of his investors' funds."
"Richard Kim, former executive at crypto firm Galaxy and trader at JPMorgan and Goldman Sachs, was arrested and charged by the FBI with securities and wire fraud for misappropriating nearly $7M raised for his Zero Edge crypto casino startup","According to an FBI complaint filed on Tuesday in the Southern District of New York, Kim ""fraudulently induced investors to invest in Zero Edge, a cryptocurrency technology company he founded, and then misappropriated millions of dollars in those investors’ funds.""  The FBI said Kim lost ""nearly all"" of the $7 million he raised from investors and charged him with securities fraud and wire fraud."
"Richard Kim, former executive at crypto firm Galaxy and trader at JPMorgan and Goldman Sachs, was arrested and charged by the FBI with securities and wire fraud for misappropriating nearly $7M raised for his Zero Edge crypto casino startup","Before everything fell apart, Richard Kim was ostensibly a successful crypto entrepreneur. A former executive at Galaxy Digital, an attorney, and an elite trader, he left in March 2024 to found Zero Edge."
"Changpeng Zhao (CZ) denied allegations by the WSJ that he facilitated introductions for WLFI, stating he did not connect Bilal bin Saqib with the WLF team, who already knew each other, and that he only met Saqib for the first time during the visit to Pakistan","CZ responded, “Fact: I am not a fixer for anyone. I did NOT ‘connect Mr. Saqib with the WLF team.’ They had known each other way back, whereas I only met with Mr. Saqib for the first time in Pakistan."
"Changpeng Zhao (CZ) denied allegations by the WSJ that he facilitated introductions for WLFI, stating he did not connect Bilal bin Saqib with the WLF team, who already knew each other, and that he only met Saqib for the first time during the visit to Pakistan","He added, “They had known each other way back, whereas I only met with Mr. Saqib for the first time in Pakistan. I did NOT make any ‘introductions for World Liberty’s foreign travels.’”"
"Changpeng Zhao (CZ) denied allegations by the WSJ that he facilitated introductions for WLFI, stating he did not connect Bilal bin Saqib with the WLF team, who already knew each other, and that he only met Saqib for the first time during the visit to Pakistan","Zhao rejected the alleged connections, saying:

“I am not a fixer for anyone. I did NOT ‘connect Mr. Saqib with the WLF team.’ They had known each other way back,"
"Nvidia’s Ignition AI Accelerator is an extension of its Inception program, providing mentorship and infrastructure credits to startups","chipmaker’s new Ignition AI Accelerator, an offshoot of its Inception program that supports promising AI startups with infrastructure credits and mentorship"
"Hafsah Inuwa was recognized for her work on software jobs, Simon Dickison for chemistry papers, and Emily for medical research; each received 5,000 GRT.","Hafsah - Software Jobs - 5,000 GRT; Simon @dickson_oche - Chemistry Papers - 5,000 GRT; Emily - Medical Research - 5,000 GRT"
"Crypto-backed Super PAC network comprising Fairshake, Defend American Jobs, and Protect Progress is donating funds to two Republican candidates in Florida’s April 1 special elections for the U.S. House of Representatives","A Super PAC network funded by the crypto industry is poised to back two Republican candidates for the United States House of Representatives in Florida’s April 1 special elections, according to a March 21 report by Politico. The network includes Fairshake, Defend American Jobs and Protect Progress."
"The legal team of Roman Storm, co-founder of Tornado Cash, argued that when prosecutors charged him in fall 2023, they failed to disclose key information about a call between Samourai wallet case prosecutors and senior FinCEN officials, during which FinCEN reportedly stated that a crypto mixer Samourai Wallet is likely not a money transmitter, as it did not custody customer funds","The filing points to an August 2023 call between prosecutors in the Southern District of New York and senior FinCEN officials, revealed earlier this month in the Samourai Wallet case.  During that call, FinCEN reportedly stated that because Samourai Wallet never took custody of user funds, it likely did not qualify as a money services business, a designation that carries hefty regulatory requirements."
"The legal team of Roman Storm, co-founder of Tornado Cash, argued that when prosecutors charged him in fall 2023, they failed to disclose key information about a call between Samourai wallet case prosecutors and senior FinCEN officials, during which FinCEN reportedly stated that a crypto mixer Samourai Wallet is likely not a money transmitter, as it did not custody customer funds","""The defense recently learned that the government has possessed exculpatory materials since August 2023 that go to the heart of a fundamental issue in this case: whether a noncustodial cryptocurrency mixer is a 'money transmitting business' for purposes of 18 U.S.C. § 1960,"" the filing said. ""The government’s failure to produce those materials in the fall of 2023, when Roman Storm was indicted and first appeared in court, constitutes a Brady violation that has materially prejudiced his defense,"""
"The legal team of Roman Storm, co-founder of Tornado Cash, argued that when prosecutors charged him in fall 2023, they failed to disclose key information about a call between Samourai wallet case prosecutors and senior FinCEN officials, during which FinCEN reportedly stated that a crypto mixer Samourai Wallet is likely not a money transmitter, as it did not custody customer funds","In a motion filed on Friday, Storm’s lawyers argue that prosecutors withheld key communications with the Financial Crimes Enforcement Network that could undermine the government’s central claim that Tornado Cash operated as an unlicensed money transmitting business under US law."
"Prior to Arbitrum’s announcement of it’s withdrawal from Nvidia Ignition AI Accelerator program, reports indicated that it was chosen as the sole Ethereum partner for the program","On April 25, reports revealed that Arbitrum, the Layer 2 network hosting a growing number of decentralized AI platforms, was preparing a major announcement: it had been chosen as the exclusive Ethereum partner for Nvidia’s new Ignition AI Accelerator, a spinoff of the Inception program offering infrastructure credits and mentorship to promising AI startups."
"Vitalik Buterin stated that the Ethereum team hopes to increase the Layer 1 gas limit by 10 to 100 times in order to support real-time proving and enable broader scaling at the base protocol level","He also referenced Ethereum’s long-term scaling goals, specifically plans to increase the Layer 1 gas limit by 10x to 100x."
"Vitalik Buterin stated that the Ethereum team hopes to increase the Layer 1 gas limit by 10 to 100 times in order to support real-time proving and enable broader scaling at the base protocol level","Responding to Succinct Labs’ real-time proving milestone in the ecosystem, Vitalik Buterin says the Ethereum team hopes to increase the Layer1 gas limit by ten to 100 times."
"Vitalik Buterin proposed the “Lean Ethereum” roadmap to improve the Ethereum network’s quantum security, operational simplicity, and overall performance","Co-founder Vitalik Buterin and researcher Justin Drake discussed the concept in a breakout session at the Forschungsingenieurtagung conference in Berlin."
"Vitalik Buterin proposed the “Lean Ethereum” roadmap to improve the Ethereum network’s quantum security, operational simplicity, and overall performance","Vitalik Buterin has come up with a Lean Ethereum proposal to improve quantum security."
"Charles Hoskinson, CEO of Input Output, characterised the Brave integration as the first in a series of “fixing broken windows” deals that originated from Midnight negotiations and will roll out over the Summer and Fall of 2025","The Brave announcement is the first in a series that will come out throughout the Summer and Fall that I term the fixing broken windows deals that originated from Midnight negotiations."
"Financial Times reported on May 26, 2025, citing six anonymous sources, that Trump Media & Technology Group was raising $3 billion to invest in Bitcoin and other cryptocurrencies, following in the footsteps of Michael Saylor’s Strategy","The firm is reportedly looking to follow in the footsteps of Michael Saylor’s Strategy, which has become one of the biggest Bitcoin holders in the world, with 576,230 Bitcoin worth nearly $63 billion based on the current price of $109,000."
